key	qty	dates
agg1	8	20200903
agg1	3	20200904
agg1	5	20200906
agg1	10	20200907
agg1	17	20200908
agg1	20	20200909
agg1	10	20200910
agg1	6	20200911
agg1	11	20200912
agg1	14	20200913
agg1	16	20200914
agg1	10	20200915
agg1	10	20200916
agg1	14	20200917
agg1	6	20200918
agg1	11	20200919
agg1	13	20200920
agg1	11	20200921
agg1	11	20200922
agg1	21	20200923
agg1	7	20200924
agg1	6	20200925
agg1	10	20200926
agg1	15	20200927
agg1	11	20200928
agg1	15	20200929
agg1	29	20200930
agg1	8	20200901
agg1	3	20200904
agg1	10	20200907
agg1	17	20200908
agg1	11	20200912
agg1	14	20200913
agg1	16	20200914
agg1	10	20200915
agg1	10	20200916
agg1	14	20200917
agg1	6	20200918
agg1	11	20200919
agg1	13	20200920
agg1	11	20200921
agg1	21	20200923
agg1	7	20200924
agg1	6	20200925
agg1	10	20200926
agg1	11	20200928
agg1	15	20200929
agg1	29	20200930
agg1	9	20200905
agg1	6	20200911
agg1	11	20200922
agg1	10	20200926
agg1	8	20200903
agg1	10	20200907
agg1	17	20200908
agg1	10	20200910
agg1	11	20200912
agg1	14	20200917
agg1	11	20200922
agg1	21	20200923
agg1	29	20200930
agg1	20	20200909
agg1	9	20200905
agg1	20	20200909
agg1	21	20200923
agg1	15	20200929
agg1	29	20200930
agg10	41	20200901
agg10	11	20200913
agg10	21	20200922
agg10	1	20200928
agg10	1	20200929
agg10	11	20200913
agg10	10	20200906
agg10	10	20200915
agg10	20	20200902
agg10	20	20200911
agg10	60	20200917
agg10	20	20200918
agg10	21	20200922
agg10	20	20200925
agg10	41	20200901
agg10	40	20200912
agg10	100	20200903
agg10	100	20200905
agg10	100	20200920
agg10	120	20200907
agg2	1	20200906
agg2	65	20200907
agg2	45	20200909
agg2	55	20200916
agg2	45	20200926
agg2	10	20200908
agg2	120	20200912
agg2	55	20200916
agg2	170	20200919
agg2	170	20200927
agg2	80	20200901
agg2	140	20200902
agg2	40	20200903
agg2	65	20200907
agg2	45	20200909
agg2	120	20200912
agg2	60	20200913
agg2	120	20200914
agg2	80	20200915
agg2	55	20200916
agg2	20	20200918
agg2	170	20200919
agg2	120	20200920
agg2	180	20200921
agg2	140	20200922
agg2	20	20200925
agg2	45	20200926
agg2	300	20200928
agg2	40	20200929
agg2	20	20200930
agg2	80	20200901
agg2	140	20200902
agg2	120	20200914
agg2	80	20200915
agg2	300	20200928
agg2	120	20200914
agg2	180	20200921
agg2	120	20200912
agg2	170	20200919
agg2	120	20200920
agg2	140	20200922
agg2	160	20200923
agg2	170	20200927
agg2	300	20200928
agg3	866	20200901
agg3	641	20200905
agg3	61	20200925
agg3	866	20200901
agg3	225	20200904
agg3	295	20200914
agg3	365	20200917
agg3	325	20200922
agg3	85	20200924
agg3	515	20200929
agg3	866	20200901
agg3	295	20200914
agg3	150	20200918
agg3	770	20200920
agg3	770	20200921
agg3	150	20200926
agg3	515	20200929
agg3	866	20200901
agg3	220	20200902
agg3	440	20200903
agg3	225	20200904
agg3	641	20200905
agg3	540	20200906
agg3	540	20200907
agg3	840	20200908
agg3	220	20200909
agg3	340	20200910
agg3	340	20200911
agg3	580	20200912
agg3	1020	20200913
agg3	295	20200914
agg3	300	20200915
agg3	340	20200916
agg3	365	20200917
agg3	150	20200918
agg3	200	20200919
agg3	770	20200920
agg3	770	20200921
agg3	325	20200922
agg3	240	20200923
agg3	85	20200924
agg3	61	20200925
agg3	150	20200926
