Product,key,qty,order number,delivery number,delivery date,placed date,new shelfs
Growmore 7-7-7 F2477,fer3,18800,260,201666,12/04/2021,07/04/2021,
Frost Fleece 8.5m x 250m HCC232,gro4,900,261,245863,08/04/2021,07/04/2021,
Frost Fleece 6.5m x 250m FL1805,gro3,200,261,245863,08/04/2021,07/04/2021,
White T Label 15cm SL135,lab43,5000,262,17766,14/04/2021,07/04/2021,
6 inch White Stick in Labels L6,lab36,20000,262,17766,14/04/2021,07/04/2021,
Label with Seed Packet Holder SL138,lab26,3000,262,17766,14/04/2021,07/04/2021,
Tree Tie 9 inch TP225,sup7,5000,262,17766,14/04/2021,07/04/2021,
White T Label SL300,lab54,1000,262,17766,14/04/2021,07/04/2021,
Wigwam Pyramid Large PYR1,sup35,10000,262,17766,14/04/2021,07/04/2021,
Support Rings PS10,sup13,1000,262,17766,14/04/2021,07/04/2021,
Plant Clips PSC11,sup12,2000,262,17766,14/04/2021,07/04/2021,
Butterfly Netting 2m GREXT11,net5,1500,263,TSO92618,14/04/2021,07/04/2021,
Shade Net 85% 1.22m x 100m LS8512201,net18,1000,263,TSO92618,14/04/2021,07/04/2021,
New mh 1,sto51,800,264,19540,08/04/2021,08/04/2021,
New Soft Boxes,sto59,2000,264,19540,08/04/2021,08/04/2021,
Gallup Box 160 x 125 x 210 709913/1/0,sto26,5790,265,93705,08/04/2021,08/04/2021,
25kg Cardboard Box 490x360x190mm 716615/1/0,sto62,6230,265,93705,08/04/2021,08/04/2021,
Yodel Pack 440 x 340 x 185 708096/1/0,sto19,5420,266,93733,08/04/2021,08/04/2021,
10kg Cardboard Box 415 x 325 x 87 710386/1/0,sto21,4545,266,93733,08/04/2021,08/04/2021,
Full Size 60 Cell Pack SV60,see12,1500,267,54,16/04/2021,08/04/2021,
Gravel Trays HFSTHW,see27,3900,267,54,21/04/2021,08/04/2021,
HFST Full Size Seed Tray,see17,5200,267,54,16/04/2021,08/04/2021,
Half Size 20 cell pack HSP20,see8,2000,267,54,16/04/2021,08/04/2021,
Square Pot - 0.25L 7cm HS778,pot89,45000,267,54,16/04/2021,08/04/2021,
Full Size 40 Cell Pack SV40,see10,2000,267,54,16/04/2021,08/04/2021,
Half Size 12 cell pack HSP12,see7,2000,267,54,16/04/2021,08/04/2021,
Half Size 4 Cell Pack HSP4,see0,2000,267,54,16/04/2021,08/04/2021,
Half Size 6 Cell Pack HSP6,see3,7600,267,54,16/04/2021,08/04/2021,
Half Size 9 cell pack HSP9,see6,2400,267,54,16/04/2021,08/04/2021,
9cm Round carry tray,pot11,350,270,SO0019917,16/04/2021,09/04/2021,
Black Round pot 10L DK10.0L,pot75,3200,270,SO0019917,16/04/2021,09/04/2021,
Deep Rose pot 4L DK4.0LR,pot8,4680,270,SO0019917,16/04/2021,09/04/2021,
Large Pot with handles - 35L LTR35,pot15,560,270,SO0019917,16/04/2021,09/04/2021,
Round Wire Hanging Basket 14 inch WBR14,han5,216,270,SO0019917,16/04/2021,09/04/2021,
Square Pot - 1L 11cm DK111112,pot84,15150,270,SO0019917,16/04/2021,09/04/2021,
Square Pot - 5L DK5.0LSR,pot87,5800,270,SO0019917,16/04/2021,09/04/2021,
Terracotta Plant Pot 26cm 26F,pot43,560,270,SO0019917,16/04/2021,09/04/2021,
Plastic black basket 12 inch,han14,480,270,SO0019918,14/04/2021,09/04/2021,
Compost Activator,fer10,400,271,37301,12/04/2021,12/04/2021,
Square Pot - 0.25L 7cm HS778,pot89,70560,272,SO0019902,12/04/2021,12/04/2021,
Black Saucer 18cm,pot53,1000,273,SO0019741,12/04/2021,12/04/2021,
Capillary matting 80cm ICM08,irr0,1000,274,SO0019963,16/04/2021,12/04/2021,
Wicker Round Hanging Basket 14 inch HB8005/20,han11,100,274,SO0019963,16/04/2021,12/04/2021,
Large Pot with handles - 110L LTR110,pot20,180,274,SO0019963,16/04/2021,12/04/2021,
13cm Thermoformed Black pot VCH13B,pot47,9720,274,SO0019963,16/04/2021,12/04/2021,
9cm Thermoformed Terracotta Pot 9cm-TF-H-TC/B,pot48,29400,274,SO0019963,16/04/2021,12/04/2021,
Plastic black basket 14 inch,han15,200,274,SO0020215,15/04/2021,12/04/2021,
Terracotta Plant Pot 6cm 6E,pot35,8220,274,SO0019963,16/04/2021,12/04/2021,
Black Saucer 40cm DKS40B,pot115,500,274,SO0019963,16/04/2021,15/04/2021,
41mm Peat Pellet 32170138,jif20,20000,274,SO0020052,16/04/2021,15/04/2021,
Black Saucer 25cm DKS25B,pot114,1000,275,SO0019963,16/04/2021,12/04/2021,
Large Pot with handles - 35L LTR35,pot15,720,276,246084,16/04/2021,12/04/2021,
Sodium Bicarbonate SB565,sal0,5250,284,1187913,14/04/2021,12/04/2021,
Packing bubble 1500 mm x 10mm x 100m,sto34,500,285,134129,13/04/2021,13/04/2021,
Packing bubble 750mm x 10mm x 100m,sto37,1000,285,134129,13/04/2021,13/04/2021,
Liquid Seaweed,fer45,2000,286,286,20/04/2021,13/04/2021,
100mm x 160mm Ground Staples HGC140/L 6x4 inch,fix0,10000,288,246087,16/04/2021,13/04/2021,
15-9-20 Progrower Base Fertiliser 4318,fer44,4200,289,201888,16/04/2021,13/04/2021,
Growmore 7-7-7 F2477,fer3,21600,289,201888,16/04/2021,13/04/2021,
Post Box 330 x 240 x 30 Large,sto20,4564,291,93821,14/04/2021,14/04/2021,
5kg Cardboard Box 390 x 290 x 55 708090/1/0,sto23,5240,291,93821,14/04/2021,14/04/2021,
Gallup Box 160 x 125 x 210 709913/1/0,sto26,5560,291,93821,14/04/2021,14/04/2021,
Epsom Salt Organic 14820001/25,sal5,26000,292,PO-55024079,16/04/2021,14/04/2021,
1022 20kg 10-2-2 Spring/Summer Complete Lawn,fer17,26000,293,4294,19/04/2021,14/04/2021,
Fish Blood & Bone 5-5-6 EL4619P,fer0,10000,294,9561,15/04/2021,15/04/2021,
Bone Meal 3.5-18-0,fer9,2000,294,9561,15/04/2021,15/04/2021,
2-0-0+2Fe Lawn Sand EL4040P,fer34,8000,294,9561,15/04/2021,15/04/2021,
Poultry Manure Pelleted 4-3-2,fer12,6000,294,9561,15/04/2021,15/04/2021,
4 inch White Stick in Label L4,lab33,100000,295,17799,27/04/2021,15/04/2021,
4 inch Green Stick in Labels L4GREEN,lab29,60000,295,17799,27/04/2021,15/04/2021,
4 inch Orange Stick in Labels L4ORANGE,lab30,60000,295,17799,27/04/2021,15/04/2021,
4 inch Pink Stick in Labels L4PINK,lab31,60000,295,17799,27/04/2021,15/04/2021,
4 inch Red Stick in Lables L4,lab32,60000,295,17799,27/04/2021,15/04/2021,
4 inch Yellow Stick in Labels L4YELLOW,lab34,60000,295,17799,27/04/2021,15/04/2021,
Angle Head Black - 19cm SL190BLACK,lab0,3000,295,17799,27/04/2021,15/04/2021,
8 inch White Stick in Labels L8,lab37,20000,295,17799,27/04/2021,15/04/2021,
Obelisk 108cm x 25cm OB1,sup4,25,295,17799,27/04/2021,15/04/2021,
5 inch White Stick in Labels L5,lab35,20000,295,17799,27/04/2021,15/04/2021,
Angle Head Black SL160BLACK,lab27,1000,295,17799,27/04/2021,15/04/2021,
Cane Cap Top hat CC1,sup18,20000,295,17799,27/04/2021,15/04/2021,
Super Soft Rubber Ties - 24 inch TP60,sup31,1000,295,17799,27/04/2021,15/04/2021,
Woven ground cover 1m x 100m GC751100,gro13,64000,297,297,21/04/2021,16/04/2021,
Woven ground cover 1m x 100m GC751100,gro13,64000,297.1,246298,21/04/2021,16/04/2021,
Frost Fleece 1.5m x 250m FL1807,gro5,10000,299,246299,21/04/2021,16/04/2021,
Large Pot with handles - 130L LTR130,pot21,150,300,SO0020215,21/04/2021,16/04/2021,
Large Pot with handles - 50L LTR50,pot16,240,300,SO0019320,21/04/2021,16/04/2021,
Wicker Round Hanging Basket 14 inch HB8005/20,han11,200,300,SO0020215,21/04/2021,16/04/2021,
Capillary matting 100cm ICM10,irr1,1000,300,SO0020215,21/04/2021,16/04/2021,
Capillary matting 125cm ICM12,irr2,400,300,SO0020215,21/04/2021,16/04/2021,
Mailer bag 22 x 30 inch,sto67,14000,301,305033,21/04/2021,17/04/2021,
Mailer Bag 17x24 inch,sto65,10000,301,305033,21/04/2021,17/04/2021,
Mailer Bag 13x19 inch,sto64,9000,301,305033,21/04/2021,17/04/2021,
Gallup Box 160 x 125 x 210 709913/1/0,sto26,5760,302,93888,19/04/2021,19/04/2021,
25kg Cardboard Box 490x360x190mm 716615/1/0,sto62,6240,302,93888,19/04/2021,19/04/2021,
Mole Traps - Scissor,pes18,360,303,26037,19/04/2021,19/04/2021,
Compost Activator,fer10,1000,304,37303,22/04/2021,20/04/2021,
Fish Blood & Bone 5-5-6 EL4619P,fer0,10000,304,37303,22/04/2021,20/04/2021,
Bone Meal 3.5-18-0,fer9,1000,304,37303,22/04/2021,20/04/2021,
13-0-0 Hoof & Horn Fertilizer,fer27,1000,304,37303,22/04/2021,20/04/2021,
1-0-0+9.5Fe Lawn Tonic EL4035P,wee2,6000,304,37303,22/04/2021,20/04/2021,
2-0-0+2Fe Lawn Sand EL4040P,fer34,3000,304,37303,22/04/2021,20/04/2021,
Poultry Manure Pelleted 4-3-2,fer12,3000,304,37303,22/04/2021,20/04/2021,
12-0-0 Dried Blood Fertiliser,fer15,375,304,37303,22/04/2021,20/04/2021,
Packing bubble 750mm x 10mm x 100m,sto37,1000,305,134501,20/04/2021,19/04/2021,
Packing bubble 1500 mm x 10mm x 100m,sto34,500,305,134501,20/04/2021,19/04/2021,
Microdol Dolomite Lime 124984,fer16,3600,307,307,20/04/2021,20/04/2021,
Black Saucer 50cm DKS50B,pot113,250,311,SO0020341,28/04/2021,21/04/2021,
Flower Pouch,pot10,10500,311,SO0020341,28/04/2021,21/04/2021,
9cm Thermoformed Terracotta Pot 9cm-TF-H-TC/B,pot48,21488,311,SO0020341,28/04/2021,21/04/2021,
Black Saucer 40cm DKS40B,pot115,1000,311,SO0020341,28/04/2021,21/04/2021,
Square Pot - 2L DK2.0LSR,pot85,9500,311,SO0020341,28/04/2021,21/04/2021,
Black Round pot 20L DK20.0L,pot78,1360,311,SO0020341,28/04/2021,21/04/2021,
Terracotta Plant Pot 6cm 6E,pot35,8220,311,SO0020341,28/04/2021,21/04/2021,
Black Saucer 25cm DKS25B,pot114,500,311,SO0020341,28/04/2021,21/04/2021,
Thermoformed Terracotta Pot 12cm 1208231D-TC,pot50,4560,311,SO0020341,28/04/2021,21/04/2021,
13cm Thermoformed Terracotta pot VCH13RT,pot51,4320,311,SO0020341,28/04/2021,21/04/2021,
Wicker Cone Hanging Basket 11-12 inch HB8006/20,han8,100,311,SO0020341,28/04/2021,21/04/2021,
13cm Thermoformed Black pot VCH13B,pot47,9720,311,SO0020341,28/04/2021,21/04/2021,
Plastic black basket 12 inch,han14,744,313,SO0020336,22/04/2021,21/04/2021,
Poly Pot- 0.5L,pot23,10500,314,SO0020341,28/04/2021,21/04/2021,
Poly Pot- 1L,pot24,10000,314,SO0020341,28/04/2021,21/04/2021,
Poly Pot - 3ltr,pot95,1250,314,SO0020341,28/04/2021,21/04/2021,
Poly Pot- 8L,pot29,2100,314,SO0020341,28/04/2021,21/04/2021,
Black Round pot 12L DK12.0L,pot76,2300,314,SO0020341,28/04/2021,21/04/2021,
Black Round pot 32L DK32.0L,pot80,550,317,SO0020341,28/04/2021,21/04/2021,
6 inch Square Pegs C695,fix4,72000,318,28962,22/04/2021,22/04/2021,
Growpot Ring Culture System (Plant Halos) GP/3,pot118,300,322,8482,22/04/2021,22/04/2021,
3MMX20X9MTR Anti-Hotspot tape 20mm RAS76152,pol21,900,323,252631,23/04/2021,22/04/2021,
3MMX30X9MTR Anti-Hotspot tape 30mm RAS76152,pol22,1200,323,252631,23/04/2021,22/04/2021,
3MMX40X9MTR Anti-Hotspot Tape 40mm RAS76152,pol23,210,323,252631,23/04/2021,22/04/2021,
3MMX50X9MTR Anti-Hotspot tape 50mm RAS76152,pol24,180,323,252631,23/04/2021,22/04/2021,
